地点,标题,岗位标签,岗位福利,公司规模,公司名称,经验,融资情况,薪资,学历,所属行业
深圳,数据分析专家,数据分析,扁平管理，过亿用户，职业大牛,2000人以上,字节跳动,经验不限,C轮,35k-70k,本科及以上,文娱丨内容
深圳,数据分析专家/经理,云计算,"大平台,核心产品,晋升空间",2000人以上,金蝶蝶金,经验3-5年,上市公司,20k-30k,本科及以上,企业服务
深圳,数据分析专员,"大数据,BI,数据分析","上市集团,内部正编,大平台,发展空间大",,世联行,经验3-5年,上市公司,6k-9k,本科及以上,企业服务
深圳,数据分析专员,"广告营销,游戏,数据分析","4A公司,平台大,晋升快",150-500人,蓝色光标SNK,经验不限,不需要融资,5k-8k,本科及以上,"移动互联网,游戏"
深圳,数据分析专员,可视化,平台大、绩效奖金,2000人以上,跨越速运,经验1-3年,不需要融资,8k-10k,大专及以上,其他
深圳,数据分析专员,运营,优质资源，可靠团队,500-2000人,乐逗游戏,经验1-3年,上市公司,10k-20k,大专及以上,游戏
深圳,数据分析总监,"金融,算法,数据挖掘,数据分析","平台好,创新型,发展迅速,股权期权",50-150人,深圳白骑士大数据有限公司,经验5-10年,A轮,38k-65k,硕士及以上,"企业服务,金融"
深圳,数据工程师/数据分析师,"数据仓库,数据分析,数据处理","五险一金,节假福利,奖金丰厚",500-2000人,乐刷,经验3-5年,C轮,17k-30k,本科及以上,移动互联网
深圳,腾讯音乐数据分析高级工程师,"移动互联网,数据挖掘,数据分析",免费班车；员工食堂；健身房；鹅厂福利,2000人以上,腾讯,经验不限,上市公司,20k-40k,本科及以上,社交
深圳,腾讯云-高级数据分析师,"云计算,数据运营,数据分析",带薪年假、免费班车、员工旅游、节日福利,2000人以上,腾讯,经验3-5年,上市公司,16k-32k,本科及以上,社交
深圳,投资并购部-数据分析员,"投资/融资,数据分析",公司规模大,2000人以上,腾讯,经验1-3年,上市公司,1k-2k,本科及以上,社交
深圳,销售助理（数据分析）,数据分析,团队氛围nice 入职购买五险一金,,优乐学科技,经验1-3年,A轮,7k-9k,大专及以上,"移动互联网,教育"
深圳,信息流数据分析产品经理,产品策划,"大平台,福利多",2000人以上,腾讯,经验3-5年,上市公司,15k-25k,本科及以上,社交
深圳,业务建模数据分析师,"教育,移动互联网,商业,增长黑客,数据分析,数据运营",在线教育,2000人以上,阿卡索外教网,经验5-10年,C轮,18k-30k,学历不限,"教育,移动互联网"
深圳,银行数据分析岗位,大数据,五险一金，带薪年假，出差补贴,2000人以上,长亮科技,经验不限,上市公司,10k-20k,本科及以上,企业服务
深圳,用户数据分析专员,"BI,数据分析,数据运营,SQL",公司平台,2000人以上,顺丰-丰e足食,经验3-5年,上市公司,15k-25k,本科及以上,"移动互联网,消费生活"
深圳,用户增长数据分析经理,"MySQL,数据分析,数据处理,ETL",大平台,2000人以上,腾讯,经验5-10年,上市公司,30k-60k,本科及以上,社交
深圳,游戏数据分析师,产品,弹性工作，免费三餐，租房补贴，带薪休假,2000人以上,字节跳动,经验3-5年,C轮,15k-30k,本科及以上,文娱丨内容
深圳,游戏数据分析师,游戏,待遇优厚，大平台,,网石游戏,经验3-5年,不需要融资,10k-20k,本科及以上,游戏
深圳,运营数据分析专家,数据分析,大平台,2000人以上,环球易购,经验5-10年,上市公司,30k-35k,本科及以上,电商
深圳,增长经理/增长黑客（数据分...,"大数据,数据分析","大数据平台,纳斯达克,扁平化管理",,极光,经验5-10年,上市公司,30k-50k,本科及以上,企业服务
深圳,征信数据分析师,"数据分析,MySQL,Spark,Hive",平台大，薪资高,2000人以上,美利金融,经验不限,B轮,8k-15k,学历不限,金融
