城市名称,标题,地点,岗位标签,岗位福利,公司规模,公司名称,融资情况,经验,所属行业,薪资,学历
成都,高级数据挖掘工程师,成都,"数据挖掘,数据架构,数据仓库",朝阳行业 晋升机会 行业前三,,美呗,B轮,经验5-10年,移动互联网,15K-25K,本科及以上
成都,高级数据挖掘工程师,成都,"算法,搜索,数据挖掘","专业培训,期权,绩效奖金,定期体检",,智库2861,天使轮,经验3-5年,"数据服务,移动互联网",15k-30k,本科及以上
成都,数据挖掘工程师,成都,"NLP,算法,数据挖掘",入职购买社保,15-50人,成都大汇智安科技有限公司,天使轮,经验5-10年,"人工智能,软件开发",15K-25K,本科及以上
成都,数据挖掘工程师-搜索方向,成都,数据挖掘,数据挖掘,,多点Dmall,C轮,经验3-5年,"电商,消费生活",15K-25K,本科及以上
成都,数据挖掘算法工程师-Algorithm,成都,"大数据,算法,数据挖掘","前沿技术,领先团队,人性化管理,竞争力待遇",150-500人,宜高美,不需要融资,经验不限,"数据服务,其他",10k-20k,硕士及以上
广州,WXG01-122 微信数据挖掘高...,广州,"社交,算法,数据挖掘",微信,2000人以上,腾讯,上市公司,经验3-5年,社交,18k-35k,本科及以上
广州,WXG01-122 微信数据挖掘工...,广州,"社交,算法,数据挖掘",微信,2000人以上,腾讯,上市公司,经验1-3年,社交,15k-30k,本科及以上
广州,ZBBU-数据挖掘工程师,广州,数据挖掘,"大平台,绩效奖金",500-2000人,酷狗音乐,上市公司,经验1-3年,文娱丨内容,18k-35k,本科及以上
广州,初级数据挖掘,广州,"移动互联网,大数据,数据挖掘,数据分析",双休 绩效奖金 上市企业,150-500人,赢商网,上市公司,经验1-3年,"移动互联网,企业服务",6k-8k,本科及以上
广州,初级数据挖掘分析模型设计,广州,"大数据,金融,数据挖掘,数据分析","金融,大数据,学习型团队",2000人以上,长亮科技,上市公司,经验不限,企业服务,8k-15k,硕士及以上
广州,大数据挖掘工程师,广州,"ETL,DBA,数据仓库","五险一金,带薪休假,年度旅游,餐费补贴",2000人以上,美的集团IT,上市公司,经验3-5年,硬件,30k-50k,本科及以上
广州,高级数据挖掘（用户画像） (M...,广州,"数据挖掘,算法",技术大牛多 领导nice 薪酬福利好,,荔枝,D轮及以上,经验3-5年,社交,15K-25K,本科及以上
